Disease,Description,Causes,Precautions,Severity
Acne,"A common inflammatory skin condition affecting hair follicles and oil glands, characterized by pimples, blackheads, whiteheads, and sometimes cysts or nodules. It most frequently occurs during puberty but can affect people of all ages. Acne typically appears on the face, forehead, chest, upper back, and shoulders. The condition can range from mild to severe and may cause scarring and emotional distress. Effective treatments are available, but it often requires a combination approach and persistence.","Hormonal changes during puberty, pregnancy, or menstrual cycles; Excess sebum (oil) production by sebaceous glands; Buildup of dead skin cells in pores; Bacterial infection (Cutibacterium acnes); Certain medications like corticosteroids or lithium; Genetic predisposition; Stress; Diet (though controversial, some studies link to dairy and high-glycemic foods); Cosmetics that clog pores","Cleanse skin gently twice daily with mild soap-free cleansers; Use non-comedogenic (won't clog pores) skincare products; Avoid squeezing or picking at pimples to prevent scarring; Apply topical treatments containing benzoyl peroxide, salicylic acid, or retinoids; For severe cases, consult dermatologist for prescription medications like antibiotics or isotretinoin; Manage stress through relaxation techniques; Consider dietary modifications if you notice specific triggers","Medium"

Actinic_Keratosis,"A pre-cancerous skin condition characterized by rough, scaly patches or lesions on sun-exposed areas, most commonly appearing on the face, lips, ears, forearms, scalp, neck, and back of hands. These lesions develop from years of sun exposure and are considered the earliest stage in the development of skin cancer. They range in color from skin-toned to reddish-brown and feel rough or sandpaper-like to the touch. Untreated actinic keratosis has a small but significant risk of progressing to squamous cell carcinoma.","Chronic exposure to ultraviolet (UV) radiation from sun or tanning beds; Cumulative sun damage over many years; Fair skin with light eyes and hair (higher susceptibility); Age (most common in people over 40); Living in sunny climates; Weakened immune system; History of frequent sunburns; Genetic predisposition to UV damage","Apply broad-spectrum sunscreen (SPF 30 or higher) daily, even on cloudy days; Wear protective clothing, wide-brimmed hats, and UV-blocking sunglasses; Avoid sun exposure during peak hours (10 AM to 4 PM); Perform monthly self-skin exams; Have annual skin cancer screenings with a dermatologist; Consider vitamin B3 (niacinamide) supplements which may help prevent new lesions; If diagnosed, follow dermatologist recommendations for cryotherapy, topical treatments, or other procedures","Medium"

Bullous,"A group of blistering skin disorders characterized by large, fluid-filled blisters (bullae) that appear on the skin and mucous membranes. These conditions can be serious, sometimes life-threatening, and require prompt medical attention. Bullous diseases include pemphigus vulgaris, bullous pemphigoid, and dermatitis herpetiformis. The blisters can rupture easily, leaving painful erosions that are prone to infection. These conditions often have autoimmune origins where the body attacks its own skin proteins.","Autoimmune disorders (most common cause); Infections (staphylococcal scalded skin syndrome, herpes); Genetic conditions (epidermolysis bullosa); Drug reactions; Underlying systemic diseases (diabetes, kidney failure, lupus); Chemical exposures or burns; Certain medications like furosemide or penicillins; Rare metabolic disorders","Avoid skin trauma and friction; Follow prescribed medical treatment regimen precisely; Maintain meticulous skin hygiene to prevent infection; Use sterile techniques when dressing blisters; Take immunosuppressant medications as directed; Have regular follow-ups with dermatologist or specialist; Join support groups for chronic blistering disorders; Keep affected areas clean and dry; Use protective padding on pressure areas","High"

Candidiasis,"A fungal infection caused by overgrowth of Candida species, particularly Candida albicans. It can affect various parts of the body including skin, mouth, throat, genitals, and nails. On skin, it typically appears as red, moist patches with satellite pustules or papules at the edges, most commonly occurring in skin folds (armpits, groin, under breasts). The condition thrives in warm, moist environments and can cause intense itching and discomfort. While usually not serious, it can be persistent and recurrent in some individuals.","Fungal overgrowth due to antibiotic use disrupting normal flora; Diabetes with elevated blood sugar levels; Immunosuppression from medications, HIV, or cancer treatments; Warm, humid environments; Obesity with skin folds; Poor hygiene; Tight, non-breathable clothing; Hormonal changes (pregnancy, birth control pills); Certain genetic conditions affecting immune function; Prolonged use of corticosteroids","Keep skin clean and dry, especially in folds; Use antifungal powders in moist areas; Wear loose, breathable cotton clothing; Control blood sugar levels if diabetic; Take probiotics when on antibiotics; Apply antifungal creams (clotrimazole, miconazole) as directed; Change out of wet clothing promptly; Maintain healthy weight to reduce skin folds; Avoid sharing personal items like towels; Consult doctor if infection recurs frequently","Medium"

DrugEruption,"Also known as drug rash or drug hypersensitivity reaction, this condition refers to various skin reactions caused by medications. Reactions range from mild rashes to severe, life-threatening conditions like Stevens-Johnson syndrome or toxic epidermal necrolysis. The timing varies from immediately after taking a drug to weeks later. Common presentations include hives, morbilliform rashes (measles-like), fixed drug eruptions, and photosensitivity reactions. Diagnosis requires careful medical history and sometimes skin testing.","Allergic reactions to medications; Non-allergic adverse drug reactions; Drug interactions; Genetic predisposition to certain drug reactions; Common culprits: antibiotics (especially penicillins and sulfonamides), anticonvulsants, NSAIDs, chemotherapy drugs, contrast dyes; Previous history of drug allergies; Underlying viral infections like EBV or HIV that increase susceptibility; Some herbal supplements or alternative medicines","Immediately stop suspected medication and consult doctor; Keep a detailed list of all drug allergies; Inform all healthcare providers about drug allergies; Wear medical alert bracelet for severe allergies; Avoid cross-reactive drugs if known allergic; Monitor new medications closely for first few weeks; Never self-medicate without professional advice; For mild reactions, antihistamines may help; For severe reactions, seek emergency medical care","Medium"

Infestations_Bites,"Various skin conditions caused by parasitic insects or arthropods, including insect bites, stings, and infestations. Common examples include mosquito bites, bed bug bites, scabies, lice, flea bites, and tick bites. These typically cause itchy, red bumps or welts on the skin, sometimes with a central punctum. Some infestations like scabies cause burrows under the skin, while others like lice cause visible insects or eggs (nits). Some bites can transmit serious diseases like Lyme disease or West Nile virus.","Mosquitoes, fleas, bed bugs, mites, lice, ticks, spiders; Poor hygiene or crowded living conditions; Travel to endemic areas; Contact with infested individuals or animals; Outdoor activities in wooded or grassy areas; Poor sanitation; Sharing personal items like combs or clothing; Working with animals or in agricultural settings; Certain climates (tropical areas have more parasites)","Use insect repellents containing DEET, picaridin, or oil of lemon eucalyptus; Wear protective clothing in infested areas; Use bed netting in mosquito-prone areas; Maintain good personal hygiene; Regularly wash bedding and clothing in hot water; Vacuum frequently and use pest control as needed; Check for ticks after outdoor activities; Treat pets for fleas regularly; Avoid sharing personal items; Seek medical help for persistent infestations","Low"

Lichen,"A chronic inflammatory skin condition characterized by small, shiny, flat-topped papules that are typically purple in color and extremely itchy. Lichen planus can affect skin, mucous membranes (mouth, genitals), hair, and nails. The exact cause is unknown but it's thought to be autoimmune. The condition often follows a relapsing-remitting course and can last from months to years. Wickham's striae (fine white lines) are a characteristic feature visible on the surface of lesions.","Immune system dysfunction (autoimmune reaction); Stress and emotional trauma; Viral infections (especially hepatitis C); Certain medications (NSAIDs, ACE inhibitors, antimalarials); Genetic predisposition; Allergy to dental materials (oral lichen planus); Association with other autoimmune diseases like alopecia areata or vitiligo; Sometimes triggered by injury to skin (Koebner phenomenon)","Avoid scratching to prevent secondary infection; Use topical corticosteroids as prescribed; Apply cool compresses to relieve itching; Take antihistamines for itch control; Practice stress management techniques; For oral involvement, avoid spicy or acidic foods; Regular dental check-ups for oral lichen planus; Protect skin from injury; Phototherapy (UVB) may help in some cases; Monitor for signs of infection","Medium"

Lupus,"Specifically cutaneous lupus erythematosus, this autoimmune disease causes various skin manifestations including the characteristic butterfly rash across cheeks and nose. There are three main types: acute cutaneous lupus (malar rash), subacute cutaneous lupus (annular or psoriasiform lesions), and chronic cutaneous lupus (discoid lupus causing scarring). Skin involvement can occur with or without systemic lupus. Lesions are often photosensitive and may cause permanent scarring and pigment changes.","Autoimmune attack on skin cells triggered by UV exposure; Genetic predisposition; Hormonal factors (more common in women); Certain medications can induce lupus-like symptoms; Viral infections may trigger onset; Environmental factors; Immune system dysfunction producing antibodies against self-tissues; Association with specific HLA genes; Sometimes triggered by extreme stress or physical trauma","Avoid sun exposure completely or use high-SPF sunscreen (SPF 50+); Wear protective clothing including hats and long sleeves; Use window films for home and car windows; Take hydroxychloroquine as prescribed (reduces photosensitivity); Regular follow-ups with rheumatologist and dermatologist; Avoid known triggers; Join lupus support groups; Monitor for systemic symptoms; Protect skin from cold temperatures which can also trigger flares","High"

Moles,"Commonly known as nevi, moles are clusters of pigmented cells (melanocytes) that appear as small, dark brown spots on the skin. Most people have between 10-40 moles that typically develop in childhood and adolescence. While most moles are benign, they can sometimes develop into melanoma, a dangerous form of skin cancer. Moles vary in color, shape, and size. The ABCDE rule helps identify suspicious moles: Asymmetry, Border irregularity, Color variation, Diameter >6mm, Evolution (changing).","Genetic factors (family history of moles); Sun exposure, especially during childhood; Fair skin type; Hormonal changes (pregnancy, puberty); Immunosuppression; Some congenital moles present at birth; UV radiation damage to melanocytes; Age (most develop before age 40); Some rare genetic syndromes associated with multiple moles","Perform monthly self-skin exams using the ABCDE rule; Have annual dermatologist skin checks if you have many moles; Use sunscreen daily to prevent new moles; Avoid tanning beds; Document moles with photos to track changes; Protect moles from irritation (clothing friction); Never try to remove moles at home; Consider genetic counseling if strong family history of melanoma; Report any changing, bleeding, or itching moles immediately","Low"

Psoriasis,"A chronic, non-contagious autoimmune disease that accelerates the life cycle of skin cells, causing them to build up rapidly on the surface. This results in thick, silvery scales and dry, red patches that are sometimes painful or itchy. Common types include plaque psoriasis (most common), guttate, inverse, pustular, and erythrodermic psoriasis. About 30% of people with psoriasis develop psoriatic arthritis, which causes joint pain and stiffness. The condition typically follows cycles of flares and remissions.","Immune system dysfunction causing rapid skin cell turnover; Genetic predisposition (multiple genes involved); Triggers: stress, skin injury (Koebner phenomenon), infections (especially strep throat), certain medications (beta-blockers, lithium), cold weather, smoking, heavy alcohol consumption; Obesity; Metabolic syndrome; Sometimes associated with other autoimmune conditions","Moisturize skin daily to prevent dryness; Use medicated shampoos and creams as prescribed; Avoid known triggers; Take warm (not hot) baths with added oils or oatmeal; Consider phototherapy under medical supervision; For moderate-severe cases, systemic treatments like biologics may be needed; Manage stress through meditation or counseling; Maintain healthy weight; Avoid smoking and limit alcohol; Join psoriasis support groups","Medium"

Rosacea,"A chronic inflammatory skin condition primarily affecting the face, characterized by persistent redness, visible blood vessels, and sometimes small, red, pus-filled bumps. It typically begins with facial flushing that progresses to persistent redness. There are four subtypes: erythematotelangiectatic (redness and visible vessels), papulopustular (acne-like breakouts), phymatous (skin thickening), and ocular (eye involvement). Rosacea often follows a relapsing course and can significantly impact quality of life.","Genetic predisposition; Abnormalities in facial blood vessels; Immune system factors; Presence of Demodex mites on skin; Helicobacter pylori infection; Sun damage; Triggers: alcohol, spicy foods, hot beverages, extreme temperatures, stress, certain skincare products; Fair skin type; Age (most common 30-50); Hormonal factors","Identify and avoid personal triggers; Use gentle, non-irritating skincare products; Apply sunscreen daily (physical blockers like zinc oxide work best); Consider topical treatments like metronidazole or azelaic acid; Oral antibiotics for more severe cases; Laser therapy for visible blood vessels; Protect face from wind and cold; Keep a trigger diary; Manage stress through relaxation techniques; Avoid topical steroids which can worsen condition","Medium"

Seborrh_Keratoses,"Common, benign skin growths that appear as waxy, raised, brown, black, or tan lesions with a 'stuck-on' appearance. They typically develop in middle age or later and increase in number with aging. These growths are not cancerous and don't become cancerous, but they can be confused with skin cancer. They vary in size from tiny to over an inch and can appear anywhere except palms, soles, and mucous membranes. Sometimes they become irritated or inflamed from friction.","Age-related skin changes (most common in people over 50); Genetic factors (tends to run in families); Sun exposure may play a role; Hormonal changes; Sometimes associated with certain internal conditions (rare); No link to human papillomavirus (HPV); Most develop spontaneously without specific cause","Monitor growths for any unusual changes; Avoid picking or scratching them; Use padding to protect from irritation by clothing; If bothersome, consult dermatologist for removal options (cryotherapy, curettage, laser); Apply sunscreen to prevent darkening; Document with photos if concerned about changes; Don't attempt home removal methods; Differentiate from skin cancer through professional examination; Consider removal if frequently irritated or for cosmetic reasons","Low"

SkinCancer,"The abnormal growth of skin cells most often caused by UV radiation exposure. There are three main types: Basal Cell Carcinoma (most common, rarely spreads), Squamous Cell Carcinoma (can spread if untreated), and Melanoma (most dangerous, can spread to other organs). Skin cancer can appear as new growths, sores that don't heal, changing moles, or scaly patches. Early detection is crucial for successful treatment, especially for melanoma.","UV radiation from sun or tanning beds (primary cause); Fair skin, light eyes, red or blond hair; History of sunburns, especially in childhood; Living in sunny climates; Family history of skin cancer; Personal history of skin cancer; Weakened immune system; Exposure to radiation or certain chemicals; Age (risk increases with age); Genetic syndromes like xeroderma pigmentosum","Use broad-spectrum sunscreen SPF 30+ daily, reapplied every 2 hours; Seek shade, especially 10 AM to 4 PM; Wear protective clothing, hats, and sunglasses; Avoid tanning beds completely; Perform monthly self-skin exams; Have annual professional skin exams; Know the ABCDEs of melanoma; Treat precancerous lesions promptly; Protect children from sun exposure; Consider vitamin D supplements if avoiding sun","High"

Sun_Sunlight_Damage,"Cumulative skin damage from repeated UV exposure over years, leading to photoaging and various skin changes. Includes wrinkles, fine lines, leathery texture, age spots (liver spots), freckles, telangiectasias (broken blood vessels), and actinic keratosis. Unlike acute sunburn, this damage builds up gradually and may not become apparent until years later. It's the primary cause of premature skin aging and significantly increases skin cancer risk.","Chronic UV radiation exposure over many years; Cumulative effect of daily sun exposure; Lack of sun protection; Fair skin type; Outdoor occupations or activities; Living at high altitudes; Reflection from snow, sand, or water; Tanning bed use; Certain medications that increase photosensitivity; Age (damage accumulates over lifetime)","Use daily broad-spectrum sunscreen SPF 30+; Apply sunscreen even on cloudy days and in winter; Wear sun-protective clothing with UPF rating; Use hats with wide brims (at least 3 inches); Seek shade during peak sun hours; Install UV-protective window films; Avoid tanning beds completely; Use antioxidants (vitamin C serums) to help repair damage; Consider retinoids to improve photoaged skin; Regular professional skin evaluations","Medium"

Tinea,"Common fungal infections caused by dermatophytes that feed on keratin in skin, hair, and nails. Different types include: tinea corporis (ringworm on body), tinea cruris (jock itch), tinea pedis (athlete's foot), tinea capitis (scalp ringworm), and tinea unguium (nail fungus). Lesions typically appear as red, scaly, circular patches with raised edges, often itchy. Despite the name 'ringworm,' no actual worm is involved. These infections are contagious through direct contact or contaminated surfaces.","Dermatophyte fungi (Trichophyton, Microsporum, Epidermophyton); Warm, moist environments (locker rooms, swimming pools); Direct contact with infected person or animal; Sharing personal items (towels, combs, shoes); Poor hygiene; Weakened immune system; Excessive sweating; Tight, non-breathable footwear; Certain occupations (athletes, military personnel); Living in tropical climates","Keep skin clean and dry, especially between toes and in folds; Use antifungal powders in shoes and socks; Wear breathable fabrics and loose clothing; Don't share personal items; Wear sandals in public showers/pools; Treat pets if they have ringworm; Wash clothing, towels, and bedding in hot water; Apply antifungal creams (clotrimazole, terbinafine) as directed; See doctor for persistent or widespread infections; Complete full course of treatment even if symptoms improve","Medium"

Unknown,"A placeholder category for skin conditions that cannot be definitively diagnosed based on available information or require further medical evaluation. This may include rare disorders, atypical presentations, early-stage conditions, or complex cases requiring biopsy and specialized testing. Proper diagnosis often requires physical examination, medical history, and sometimes laboratory tests or skin biopsy.","Unknown, requires professional diagnosis; Could be any of numerous dermatological conditions; May represent early stage of identifiable disease; Possibly rare genetic disorder; Sometimes medication reaction; Could be manifestation of systemic illness; Might be atypical infection; Possibly psychodermatological condition; Requires differential diagnosis by specialist","Consult board-certified dermatologist for accurate diagnosis; Provide complete medical history including medications; Consider skin biopsy if recommended; Take clear photos to document progression; Avoid self-diagnosis and treatment; Seek second opinion if diagnosis remains unclear; Follow through with recommended tests; Be patient as some conditions take time to manifest clearly; Join rare disease support networks if applicable; Keep detailed symptom diary","Unknown"

Vascular_Tumors,"Benign or malignant growths arising from blood vessels, including hemangiomas, vascular malformations, angiosarcomas, and Kaposi's sarcoma. Benign forms like cherry angiomas are common with aging. Infantile hemangiomas often appear in first weeks of life and usually resolve by age 10. Malignant forms like angiosarcoma are rare but aggressive. Lesions appear as red, purple, or blue marks that may blanch with pressure. Some vascular tumors are associated with genetic syndromes.","Genetic factors (many are congenital); Abnormal development of blood vessels in utero; Sometimes triggered by trauma or hormonal changes; Kaposi's sarcoma caused by human herpesvirus 8 (HHV-8); Angiosarcoma associated with prior radiation or chronic lymphedema; Some linked to genetic syndromes like Sturge-Weber or Klippel-Trenaunay; Unknown causes for many benign forms; Possibly hormonal influences (some appear during pregnancy)","Monitor growths for changes in size, color, or texture; Protect from trauma (bleeding can be profuse); Consult vascular specialist for diagnosis; Consider laser treatment for cosmetic concerns; Regular follow-up for potentially malignant forms; Genetic counseling if associated with syndrome; Photodocumentation to track changes; Sun protection (some darken with sun exposure); Avoid scratching or picking; Seek immediate care for bleeding, ulceration, or rapid growth","Medium"

Vasculitis,"Inflammation of blood vessels leading to reduced blood flow, tissue damage, and various skin manifestations. Cutaneous vasculitis appears as palpable purpura (raised purple spots), ulcers, nodules, or livedo reticularis (net-like pattern). It can be primary (limited to skin) or secondary to systemic disease. Some forms are mild and self-limited, while others can affect internal organs and be life-threatening. Diagnosis often requires skin biopsy and laboratory tests.","Autoimmune disorders (lupus, rheumatoid arthritis); Infections (hepatitis B/C, streptococcus); Medications (antibiotics, diuretics); Certain cancers (lymphoma, leukemia); Inflammatory conditions (IBD, sarcoidosis); Genetic predisposition; Unknown causes in many cases; Sometimes triggered by allergic reactions; Environmental factors; Association with cryoglobulinemia","Follow prescribed treatment regimen (often corticosteroids or immunosuppressants); Monitor for systemic symptoms (fever, weight loss, joint pain); Protect skin from injury; Avoid known triggers if identified; Regular follow-up with rheumatologist; Complete all recommended tests; Join vasculitis foundation for support; Report new or worsening symptoms promptly; Maintain healthy lifestyle to support immune function; Consider second opinion for complex cases","High"

Vitiligo,"An autoimmune condition characterized by loss of skin pigment (melanin), resulting in smooth, white patches on the skin. It occurs when melanocytes (pigment-producing cells) are destroyed. The extent and rate of pigment loss are unpredictable. Vitiligo can affect any part of the body, including hair and inside of mouth. It's often associated with other autoimmune disorders like thyroid disease, alopecia areata, and pernicious anemia. The condition can have significant psychological impact.","Autoimmune destruction of melanocytes; Genetic predisposition (multiple genes involved); Associated with other autoimmune diseases; Neural hypothesis (neurochemicals toxic to melanocytes); Self-destruction theory (melanocytes destroy themselves); Triggers: stress, skin injury (Koebner phenomenon), sunburn, chemical exposure; Possibly linked to viral infection; No evidence of dietary causes","Use sunscreen on depigmented areas (burn easily); Consider cosmetic camouflage with makeup or self-tanners; Explore medical treatments: topical corticosteroids, calcineurin inhibitors, phototherapy; For extensive cases, depigmentation of remaining skin may be an option; Join vitiligo support groups; Protect from skin injury; Consider psychological support if distress occurs; Regular check-ups for associated autoimmune conditions; Avoid unproven alternative treatments","Medium"

Warts,"Small, rough skin growths caused by various strains of human papillomavirus (HPV). Different types include common warts (hands), plantar warts (feet), flat warts (face, legs), filiform warts (face, neck), and genital warts. Warts are contagious through direct contact or contaminated surfaces. They can be stubborn to treat and often recur. Most warts are harmless but can be painful, especially plantar warts. Some HPV strains are associated with cancer (especially genital warts).","Human papillomavirus (HPV) infection; Over 100 HPV types identified; Direct skin-to-skin contact; Contact with contaminated surfaces (swimming pools, gym floors); Autoinoculation (spreading by scratching); Weakened immune system; Skin breaks or cuts facilitate entry; Children and young adults most susceptible; Certain occupations (butchers, fish handlers); Nail biting or cuticle picking","Avoid direct contact with warts (your own or others'); Don't share personal items like towels or razors; Wear waterproof shoes in public showers/pools; Keep warts covered with bandage; Don't pick or scratch warts; Wash hands after touching warts; Consider over-the-counter salicylic acid treatments; See doctor for persistent, painful, or genital warts; Consider HPV vaccine (prevents some wart-causing strains); Boost immune system with healthy lifestyle","Low"